surf,read,pos,count
あえ,アエ,"動詞,自立,*,*",1
あげる,アゲル,"動詞,自立,*,*",1
あたり,アタリ,"動詞,自立,*,*",1
あたり,アタリ,"名詞,一般,*,*",1
あっ,アッ,"動詞,自立,*,*",4
あと,アト,"名詞,一般,*,*",4
あり,アリ,"動詞,自立,*,*",1
ある,アル,"動詞,自立,*,*",8
い,イ,"動詞,自立,*,*",5
いい,イイ,"動詞,自立,*,*",1
いい,イイ,"形容詞,自立,*,*",5
いう,イウ,"動詞,自立,*,*",2
いか,イカ,"動詞,自立,*,*",1
いくら,イクラ,"副詞,一般,*,*",1
いじめ,イジメ,"動詞,自立,*,*",1
いじめ,イジメ,"名詞,一般,*,*",1
いたずら,イタズラ,"名詞,サ変接続,*,*",1
いただけ,イタダケ,"動詞,自立,*,*",1
いただける,イタダケル,"動詞,自立,*,*",1
いっ,イッ,"動詞,自立,*,*",3
いる,イル,"動詞,自立,*,*",5
いろいろ,イロイロ,"名詞,形容動詞語幹,*,*",1
うま,ウマ,"形容詞,自立,*,*",1
うらやましい,ウラヤマシイ,"形容詞,自立,*,*",1
おかしい,オカシイ,"形容詞,自立,*,*",3
おかしく,オカシク,"形容詞,自立,*,*",1
おら,オラ,"動詞,自立,*,*",1
お方,オカタ,"名詞,一般,*,*",1
お父さん,オトウサン,"名詞,一般,*,*",1
お礼,オレイ,"名詞,サ変接続,*,*",2
お花畑,オハナバタケ,"名詞,一般,*,*",1
お詫び,オワビ,"名詞,サ変接続,*,*",1
かなり,カナリ,"副詞,一般,*,*",1
き,キ,"動詞,自立,*,*",1
きき,キキ,"動詞,自立,*,*",1
きょう,キョウ,"名詞,副詞可能,*,*",1
く,ク,"形容詞,自立,*,*",1
くだら,クダラ,"動詞,自立,*,*",1
こうしん,コウシン,"名詞,サ変接続,*,*",1
ごく,ゴク,"副詞,一般,*,*",2
ご時世,ゴジセイ,"名詞,一般,*,*",1
ざわざわ,ザワザワ,"名詞,サ変接続,*,*",1
しかも,シカモ,"接続詞,*,*,*",1
しみ,シミ,"動詞,自立,*,*",1
しょうが,ショウガ,"名詞,ナイ形容詞語幹,*,*",1
しょっぴい,ショッピイ,"動詞,自立,*,*",1
しよ,シヨ,"動詞,自立,*,*",2
しれ,シレ,"動詞,自立,*,*",2
じっと,ジット,"副詞,一般,*,*",1
じゃあ,ジャア,"接続詞,*,*,*",2
すごい,スゴイ,"形容詞,自立,*,*",3
すなわち,スナワチ,"接続詞,*,*,*",1
すれ,スレ,"動詞,自立,*,*",1
すん,スン,"動詞,自立,*,*",2
ずっと,ズット,"副詞,一般,*,*",2
せ,セ,"動詞,自立,*,*",1
ぜひ,ゼヒ,"副詞,一般,*,*",1
そい,ソイ,"動詞,自立,*,*",1
そして,ソシテ,"接続詞,*,*,*",3
そりゃ,ソリャ,"接続詞,*,*,*",1
それぞれ,ソレゾレ,"名詞,副詞可能,*,*",1
それで,ソレデ,"接続詞,*,*,*",1
