surf,read,pos,count
し,シ,"動詞,自立,*,*",0.027985263798289788
する,スル,"動詞,自立,*,*",0.009125629499442322
人,ヒト,"名詞,一般,*,*",0.00909183087166661
ない,ナイ,"形容詞,自立,*,*",0.008922837732788048
れ,レ,"動詞,接尾,*,*",0.00777368438841383
自分,ジブン,"名詞,一般,*,*",0.006320343394058201
なっ,ナッ,"動詞,自立,*,*",0.0060499543718525025
ある,アル,"動詞,自立,*,*",0.005914759860749653
私,ワタシ,"名詞,代名詞,一般,*",0.005171190049683983
なる,ナル,"動詞,自立,*,*",0.004900801027478284
さん,サン,"名詞,接尾,人名,*",0.004529016121945449
死ぬ,シヌ,"動詞,自立,*,*",0.004427620238618312
悪い,ワルイ,"形容詞,自立,*,*",0.004224828471964038
見,ミ,"動詞,自立,*,*",0.004089633960861189
さ,サ,"動詞,自立,*,*",0.00395443944975834
それ,ソレ,"名詞,代名詞,一般,*",0.003920640821982627
思っ,オモッ,"動詞,自立,*,*",0.003886842194206915
殺す,コロス,"動詞,自立,*,*",0.0038192449386554904
苦しい,クルシイ,"形容詞,自立,*,*",0.0038192449386554904
思う,オモウ,"動詞,自立,*,*",0.003751647683104066
病気,ビョウキ,"名詞,サ変接続,*,*",0.0037178490553283535
難しい,ムズカシイ,"形容詞,自立,*,*",0.003684050427552641
酷い,ヒドイ,"形容詞,自立,*,*",0.003684050427552641
厳しい,キビシイ,"形容詞,自立,*,*",0.0035826545442255043
卑しい,イヤシイ,"形容詞,自立,*,*",0.0035150572886740797
苦しむ,クルシム,"動詞,自立,*,*",0.0035150572886740797
責める,セメル,"動詞,自立,*,*",0.0035150572886740797
罵る,ノノシル,"動詞,自立,*,*",0.003447460033122655
浸ける,ツケル,"動詞,自立,*,*",0.0034136614053469428
惨い,ムゴイ,"形容詞,自立,*,*",0.0033798627775712305
下手,ヘタ,"名詞,形容動詞語幹,*,*",0.0033798627775712305
付く,ツク,"動詞,自立,*,*",0.003346064149795518
これ,コレ,"名詞,代名詞,一般,*",0.0031770710109169566
今,イマ,"名詞,副詞可能,*,*",0.0031770710109169566
好き,スキ,"名詞,形容動詞語幹,*,*",0.003008077872038395
何,ナニ,"名詞,代名詞,一般,*",0.003008077872038395
的,テキ,"名詞,接尾,形容動詞語幹,*",0.0029404806164869705
言っ,イッ,"動詞,自立,*,*",0.0026024943387298475
さ,サ,"名詞,接尾,特殊,*",0.0026024943387298475
いい,イイ,"形容詞,自立,*,*",0.0026024943387298475
れる,レル,"動詞,接尾,*,*",0.002332105316524149
笑,エミ,"名詞,固有名詞,人名,名",0.002332105316524149
い,イ,"動詞,自立,*,*",0.002332105316524149
一,イチ,"名詞,数,*,*",0.0022645080609727244
もう,モウ,"副詞,一般,*,*",0.0022645080609727244
られ,ラレ,"動詞,接尾,*,*",0.0021631121776455875
でも,デモ,"接続詞,*,*,*",0.0021631121776455875
人,ニン,"名詞,接尾,助数詞,*",0.0020617162943184506
言わ,イワ,"動詞,自立,*,*",0.0020617162943184506
者,シャ,"名詞,接尾,一般,*",0.0020279176665427383
ちゃん,チャン,"名詞,接尾,人名,*",0.001994119038767026
やっ,ヤッ,"動詞,自立,*,*",0.0019265217832156014
人間,ニンゲン,"名詞,一般,*,*",0.0019265217832156014
気,キ,"名詞,一般,*,*",0.0019265217832156014
あっ,アッ,"動詞,自立,*,*",0.001892723155439889
でき,デキ,"動詞,自立,*,*",0.001892723155439889
言葉,コトバ,"名詞,一般,*,*",0.001892723155439889
俺,オレ,"名詞,代名詞,一般,*",0.001892723155439889
前,マエ,"名詞,副詞可能,*,*",0.001892723155439889
僕,ボク,"名詞,代名詞,一般,*",0.0018251258998884645
いる,イル,"動詞,自立,*,*",0.0018251258998884645
あり,アリ,"動詞,自立,*,*",0.0017913272721127521
思い,オモイ,"動詞,自立,*,*",0.0017575286443370398
出,デ,"動詞,自立,*,*",0.0017237300165613275
くん,クン,"名詞,接尾,人名,*",0.0016223341332341906
誰,ダレ,"名詞,代名詞,一般,*",0.0016223341332341906
気持ち,キモチ,"名詞,一般,*,*",0.001554736877682766
なり,ナリ,"動詞,自立,*,*",0.0015209382499070537
やつ,ヤツ,"名詞,代名詞,一般,*",0.0015209382499070537
本当に,ホントウニ,"副詞,一般,*,*",0.001453340994355629
せ,セ,"動詞,接尾,*,*",0.001453340994355629
理解,リカイ,"名詞,サ変接続,*,*",0.001453340994355629
言う,イウ,"動詞,自立,*,*",0.0014195423665799168
言い,イイ,"動詞,自立,*,*",0.0014195423665799168
目,メ,"名詞,一般,*,*",0.0013857437388042045
話,ハナシ,"名詞,サ変接続,*,*",0.0013857437388042045
今日,キョウ,"名詞,副詞可能,*,*",0.0013857437388042045
また,マタ,"接続詞,*,*,*",0.0013519451110284922
感じ,カンジ,"名詞,一般,*,*",0.0013181464832527799
なん,ナン,"名詞,代名詞,一般,*",0.0012843478554770676
時間,ジカン,"名詞,副詞可能,*,*",0.0012505492277013553
日本,ニッポン,"名詞,固有名詞,地域,国",0.0012505492277013553
二,ニ,"名詞,数,*,*",0.0012505492277013553
顔,カオ,"名詞,一般,*,*",0.0012505492277013553
みんな,ミンナ,"名詞,代名詞,一般,*",0.001216750599925643
世界,セカイ,"名詞,一般,*,*",0.001216750599925643
たち,タチ,"名詞,接尾,一般,*",0.001216750599925643
良い,ヨイ,"形容詞,自立,*,*",0.001216750599925643
考え,カンガエ,"動詞,自立,*,*",0.0011829519721499307
ちゃんと,チャント,"副詞,一般,*,*",0.0011491533443742184
仕事,シゴト,"名詞,サ変接続,*,*",0.0011491533443742184
しれ,シレ,"動詞,自立,*,*",0.0011491533443742184
男,オトコ,"名詞,一般,*,*",0.0011491533443742184
もっと,モット,"副詞,一般,*,*",0.001115354716598506
なく,ナク,"形容詞,自立,*,*",0.001115354716598506
水,ミズ,"名詞,一般,*,*",0.001115354716598506
心,ココロ,"名詞,一般,*,*",0.001115354716598506
意味,イミ,"名詞,サ変接続,*,*",0.001115354716598506
性,セイ,"名詞,接尾,一般,*",0.0010815560888227937
わから,ワカラ,"動詞,自立,*,*",0.0010815560888227937
できる,デキル,"動詞,自立,*,*",0.0010815560888227937
出来,デキ,"動詞,自立,*,*",0.0010477574610470814
必要,ヒツヨウ,"名詞,形容動詞語幹,*,*",0.0010477574610470814
手,テ,"名詞,一般,*,*",0.0010477574610470814
ここ,ココ,"名詞,代名詞,一般,*",0.0010477574610470814
明日,アシタ,"名詞,副詞可能,*,*",0.0010477574610470814
お前,オマエ,"名詞,代名詞,一般,*",0.0010477574610470814
いう,イウ,"動詞,自立,*,*",0.0010139588332713691
無い,ナイ,"形容詞,自立,*,*",0.0010139588332713691
相手,アイテ,"名詞,一般,*,*",0.0010139588332713691
回,カイ,"名詞,接尾,助数詞,*",0.0010139588332713691
子,コ,"名詞,一般,*,*",0.0010139588332713691
よく,ヨク,"副詞,一般,*,*",0.0009801602054956568
